run,source_log,task,f1,precision,recall,specificity,accuracy,auc
baseline,davit_pneumonia_detection_A2.log,pneumonia_detection,0.9695431472081218,0.9597989949748744,0.9794871794871794,0.9316239316239316,0.9615384615384616,0.9555555555555557
combined_covid,davit_combined_covid_test.log,cross_domain_pneumonia_detection,0.9362745098039216,0.8967136150234741,0.9794871794871794,0.8352059925093633,0.9208523592085236,0.9073465859982714
improved,davit_improvement_train.log,pneumonia_detection,0.9754552652414885,0.9903536977491961,0.9609984399375975,0.9753086419753086,0.9649321266968326,0.968153540956453
